,Sales & Marketing,Engineering Research & Development,Customer Services,Business Operations,Leadership,Other,total_jobs
infosys mccamish,0,0,0,2,0,0,2
"infosys public services, inc",0,1,0,0,0,0,1
nokia,1,46,0,1,1,0,49
tata technologies,0,28,0,8,0,0,36
tata chemicals,0,0,0,0,1,0,1
tata communications,5,3,0,2,0,0,10
tata elxsi,2,4,0,0,0,0,6
tata consumer products,0,1,0,0,0,0,1
tata chemical limited,0,0,0,0,0,0,0
tata enterprises,0,0,0,0,0,0,0
tata technologies inc.,0,10,0,1,0,0,11
tata communications limited,0,0,0,0,0,0,0
dell,34,24,1,9,1,0,69
chick-fil-a - dell range,0,0,0,0,0,0,0
emc insurance,0,24,3,5,8,0,40
emc energy,4,0,0,0,0,0,4
caring senior service of emc,0,0,0,0,0,1,1
emc foundations inc.,0,0,0,0,0,0,0
upson emc,0,0,0,0,0,0,0
emc bowery,0,0,0,0,0,0,0
alpha emc,0,0,0,0,8,0,8
quinlan emc,0,0,0,0,0,0,0
accenture,0,24,15,29,13,0,81
kaiser foundation health plan of the mid-atlantic,0,4,0,1,2,0,7
capgemini,3,12,1,50,2,0,68
capgemini government solutions,0,1,0,1,3,0,5
sogeti capgemini,0,0,0,0,0,0,0
ciber global,0,14,0,0,0,0,14
global wireless - at&t authorized retailer,4,0,0,0,0,0,4
at&t,6,14,26,11,6,0,63
my wireless at&t,3,0,0,1,0,0,4
prime communications | at&t,0,0,0,0,0,0,0
at&t authorized retailer - prime communications,0,0,0,0,0,0,0
prime communications at&t authorized retailer,0,0,0,0,0,0,0
at&t portables,1,0,0,0,0,0,1
sap,2,7,0,36,1,0,46
learn sap,0,0,0,1,0,0,1
wilbur sap group,0,0,0,0,0,0,0
united states army,9,11,0,3,20,14,57
"united states army, active duty & army reserves",6,0,0,0,1,0,7
united states army / army reserve,0,7,0,0,0,0,7
"department of defense, united states army",0,0,0,0,0,0,0
united states army & army reserve,0,0,0,1,0,0,1
united states army and army reserve,0,0,0,1,1,0,2
"united states army, army reserves",0,0,0,0,0,0,0
united states army recruiting center dearborn,0,0,0,0,0,0,0
united states army reserve (working 2 days a month...,0,0,0,0,0,0,0
pricewaterhousecoopers advisory services llc,0,0,0,9,0,0,9
netsource demo contracting company,0,4,0,0,0,0,4
lockheed martin,0,7,0,4,14,0,25
lockheed martin corporation,0,14,3,9,22,1,49
confidential,14,2,11,13,28,3,71
confidential [plastics],0,0,0,1,0,0,1
quick and confidential,0,0,0,0,0,1,1
confidential commercial real estate company,0,0,0,0,0,0,0
confidential - commercial cleaning company,0,0,0,0,0,0,0
confidential - dental office,0,4,0,0,0,0,4
confidential real estate & management office,0,0,0,0,3,0,3
saic,0,60,1,13,4,1,79
hewlett packard enterprise,10,13,0,24,2,0,49
capital one - us,0,0,3,5,2,0,10
one william street capital,0,0,0,0,0,0,0
tcc verizon authorized retailer,29,0,0,0,0,0,29
verizon authorized retailer - cellular plus,6,0,0,0,0,0,6
verizon wireless retailer,19,0,0,0,0,0,19
verizon authorized retailer - gowireless,2,0,0,1,0,0,3
verizon,2,4,1,7,5,0,19
verizon authorized retailer – gowireless,1,0,0,0,0,0,1
verizon wireless premium retailer - cellular exper...,0,0,0,0,0,0,0
victra - verizon wireless premium retailer,2,0,0,0,0,0,2
im wireless- verizon wireless authorized retailer,1,0,0,0,0,0,1
verizon wireless premium retailer - victra,0,0,0,0,0,0,0
wireless zone - verizon authorized retailer,0,0,1,0,0,0,1
kforce,1,25,5,33,11,0,75
